"department","course","section","author","bookImage","edition","isbn","title","publisher","price","forRent","print","subscriptionTime"
"ARE","5665","0001","Meyerson","//bkstr.scene7.com/is/image/Bkstr/9781422121382","N/A","9781422121382","Rocking the Boat","Harvard Business School Press",14.95,false,true,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780062119094","N/A","9780062119094","Good To Great And The Social Sectors","HarperCollins",10.99,true,false,
"ARE","5665","0001","Collins","//bkstr.scene7.com/is/image/Bkstr/9780062119209","N/A","9780062119209","Good to Great","HarperCollins",15.99,true,false,
"ARE","5745","0001","Buffington","//bkstr.scene7.com/is/image/Bkstr/9781890160579","N/A","9781890160579","Practice Theory: Seeing the Power of Art Teacher Researchers","National Art Education Association",82.75,false,true,
"ARE","5745","0001","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781259913839","10th","9781259913839","How to Design & Evaluate Research in Education (RRMCG)","McGraw-Hill Publisher Rental",70.01,true,true,
"ARE","5745","0001","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781259913839","10th","9781259913839","How to Design & Evaluate Research in Education (RRMCG)","McGraw-Hill Publisher Rental",70.01,true,true,
"ARE","5745","0001","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781260131451","10th","9781260131505","How to Design and Evaluate Research in Education","McGraw-Hill",56,true,false,"180"
"ARE","5745","0001","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781260131451","10th","9781260131505","How to Design and Evaluate Research in Education","McGraw-Hill",72,true,false,"360"
"ARE","5745","0001","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781260131451","10th","9781260131505","How to Design and Evaluate Research in Education","McGraw-Hill",89.5,true,false,
"ARE","5745","0002","Creswell","//bkstr.scene7.com/is/image/Bkstr/9781506386706","5th","9781506386706","Research Design","Sage Publications, Incorporated",67,false,true,
"ARE","5745","0002","Creswell","//bkstr.scene7.com/is/image/Bkstr/9781506386706","5th","9781506386706","Research Design","Sage Publications, Incorporated",36.85,true,true,
"ARE","5745","0002","Creswell","//bkstr.scene7.com/is/image/Bkstr/9781506386706","5th","9781506386706","Research Design","Sage Publications, Incorporated",26.8,true,true,
"ARE","5745","0002","Creswell","//bkstr.scene7.com/is/image/Bkstr/9781506386706","5th","9781506386706","Research Design","Sage Publications, Incorporated",50.25,false,true,
"ARE","5745","0002","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781259913839","10th","9781259913839","How to Design & Evaluate Research in Education (RRMCG)","McGraw-Hill Publisher Rental",70.01,true,true,
"ARE","5745","0002","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781259913839","10th","9781259913839","How to Design & Evaluate Research in Education (RRMCG)","McGraw-Hill Publisher Rental",70.01,true,true,
"ARE","5745","0002","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781260131451","10th","9781260131505","How to Design and Evaluate Research in Education","McGraw-Hill",56,true,false,"180"
"ARE","5745","0002","Creswell","//bkstr.scene7.com/is/image/Bkstr/9781506386706","5th","9781506386690","Research Design","Sage Publications, Incorporated",58,true,false,
"ARE","5745","0002","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781260131451","10th","9781260131505","How to Design and Evaluate Research in Education","McGraw-Hill",72,true,false,"360"
"ARE","5745","0002","Fraenkel","//bkstr.scene7.com/is/image/Bkstr/9781260131451","10th","9781260131505","How to Design and Evaluate Research in Education","McGraw-Hill",89.5,true,false,
"ARE","5930","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",31.99,false,true,
"ARE","5930","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",23.99,true,true,
"ARE","5930","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",12.8,true,true,
"ARE","5930","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",24,false,true,
"ARE","5930","0001","Association","//bkstr.scene7.com/is/image/Bkstr/9781433832178","7th","9781433832185","Publication Manual of the American Psychological Association - 7th Ed.","American Psychological Association",31.99,true,false,"365"
"ARE","5930","0001","Association","//bkstr.scene7.com/is/image/Bkstr/9781433832178","7th","9781433832185","Publication Manual of the American Psychological Association - 7th Ed.","American Psychological Association",35.99,true,false,
"ARE","5934","0001","Swan-Foster","//bkstr.scene7.com/is/image/Bkstr/9781138209541","N/A","9781138209541","Jungian Art Therapy","Routledge",57.95,false,true,
"ARE","5934","0001","Swan-Foster","//bkstr.scene7.com/is/image/Bkstr/9781138209541","N/A","9781138209541","Jungian Art Therapy","Routledge",43.46,true,true,
"ARE","5934","0001","Jung","//bkstr.scene7.com/is/image/Bkstr/9780440351832","N/A","9780440351832","Man & His Symbols","Dell Publishing",8.99,false,true,
"ARE","5934","0001","Jung","//bkstr.scene7.com/is/image/Bkstr/9780440351832","N/A","9780440351832","Man & His Symbols","Dell Publishing",6.74,true,true,
"ARE","5934","0001","Jung","//bkstr.scene7.com/is/image/Bkstr/9780440351832","N/A","9780440351832","Man & His Symbols","Dell Publishing",3.6,true,true,
"ARE","5934","0001","Jung","//bkstr.scene7.com/is/image/Bkstr/9780440351832","N/A","9780440351832","Man & His Symbols","Dell Publishing",6.75,false,true,
"ARE","5935","0001","Gussak","//bkstr.scene7.com/is/image/Bkstr/9781118306598","N/A","9781118306598","Wiley Handbook of Art Therapy","John Wiley & Sons, Incorporated",240,false,true,
"ARE","5935","0001","Gussak","//bkstr.scene7.com/is/image/Bkstr/9781118306598","N/A","9781118306598","Wiley Handbook of Art Therapy","John Wiley & Sons, Incorporated",180,true,true,
"ARE","5935","0001","Lowenfeld","//bkstr.scene7.com/is/image/Bkstr/9780023721106","8th","9780023721106","Creative & Mental Growth","Pearson",57.9,true,true,
"ARE","5935","0001","Lowenfeld","//bkstr.scene7.com/is/image/Bkstr/9780023721106","8th","9780023721106","Creative & Mental Growth","Pearson",108.75,false,true,
"ARE","5935","0001","Anderson","//bkstr.scene7.com/is/image/Bkstr/9780398060077","N/A","9780398060077","Art for All the Children","Charles C Thomas Publisher, Limited",62.95,false,true,
"ARE","5935","0001","Anderson","//bkstr.scene7.com/is/image/Bkstr/9780398060077","N/A","9780398060077","Art for All the Children","Charles C Thomas Publisher, Limited",25.18,true,true,
"ARE","5935","0001","Anderson","//bkstr.scene7.com/is/image/Bkstr/9780398060077","N/A","9780398060077","Art for All the Children","Charles C Thomas Publisher, Limited",47.25,false,true,
"ARE","5935","0001","Author Info Not Available","//bkstr.scene7.com/is/image/Bkstr/9781118306567","1st","9781118306567","The Wiley Handbook of Art Therapy","John Wiley & Sons, Incorporated",199.99,true,false,
"ARE","5935","0002","Cahnmann-Taylor","//bkstr.scene7.com/is/image/Bkstr/9781138235199","2nd","9781138235199","Arts-Based Research in Education","Routledge",64.95,false,true,
"ARE","5935","0002","Author Info Not Available","//bkstr.scene7.com/is/image/Bkstr/9781315305066","2nd","9781315305066","Arts-Based Research in Education","Taylor & Francis Group, LLC",64.95,true,false,
"ARE","5935","0003","Paul","//bkstr.scene7.com/is/image/Bkstr/9780130422538","N/A","9780130422538","Intro to Philosophies of Research etc","Pearson",79,false,true,
"ARE","5935","0003","Kapitan","//bkstr.scene7.com/is/image/Bkstr/9781138912854","2nd","9781138912854","Intro to Art Therapy Research","Routledge",52.95,false,true,
"ARE","5935","0003","Kapitan","//bkstr.scene7.com/is/image/Bkstr/9781138912854","2nd","9781138912854","Intro to Art Therapy Research","Routledge",39.71,true,true,
"ARE","5935","0003","Kapitan","//bkstr.scene7.com/is/image/Bkstr/9781317431039","2nd","9781317431039","Introduction to Art Therapy Research","Taylor & Francis Group, LLC",52.95,true,false,
